"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"16";"";
"REFERENCE";"1993776";"";
"ATT_0173_1_02_BAF016_008";"10.16";"";
"TraceParts.PartVersion";"1.2.9";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAA020_012";"35.8";"";
"ATT_0173_1_02_BAC739_009";"0.5";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"TraceParts.PartNumber";"10-24122020-043926";"";
"ATT_0173_1_02_AAB940_009";"0.5";"";
"ATT_0173_1_02_AAO663_005";"4046356037617";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-24122020-0439264OBSZYRG2K5863VI1MERYQBBY";"";
"ATT_0173_1_02_BAB577_010";"18.7";"";
"ATT_0173_1_02_BAC740_009";"0.5";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"MKDS 10 HV/ 1-B-10,16";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC487_017";"PA";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"ATT_0173_1_02_AAB789_009";"6";"";
"ATT_0173_1_02_BAC676_009";"16";"";
